gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Total_Services,Customer_Segment,Dist_to_Cluster_0,Dist_to_Cluster_1,Dist_to_Cluster_2,Dist_to_Cluster_3
0,0,1,0,1,0,1,29.85,29.85,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,4.2919050385401025,0.5659133823304083,2.042181061236953,2.25137567320117
1,0,0,0,34,1,0,56.95,1889.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,2,2.4810589840252524,1.6691320928643292,1.0272680400061962,1.4422862337878635
1,0,0,0,2,1,1,53.85,108.15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3.731301793515721,1.0938306475451824,1.2520022368304722,2.460661242690225
1,0,0,0,45,0,0,42.3,1840.75,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,3,3,2.4280391602008637,2.184796016415541,1.6992111470700846,1.4454089126742171
0,0,0,0,2,1,1,70.7,151.65,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4.047427035643892,1.1420705069544694,1.5701257678807956,2.5847621982822413
0,0,0,0,8,1,1,99.65,820.5,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,3,2,3.0078951242085497,2.527469475443201,0.9029264389091993,3.268202402974644
1,0,0,1,22,1,1,89.1,1949.4,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,2.458477106636068,2.1354708282395247,0.4496297278403357,2.481532732261328
0,0,0,0,10,0,0,29.75,301.9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4.031612336368837,0.4591767466189145,1.9137646507853971,1.8687712735744728
0,0,1,0,28,1,1,104.8,3046.05,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,4,2,1.73360652201453,3.3196281064533033,1.466971313710113,3.3481872098076035
1,0,0,1,62,1,0,56.15,3487.95,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,1.8450242367298526,2.8082939085900187,2.150529835561626,1.493533867787825
